Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
199,474.87,47.93, минута , сущ неод ед жен им ,10193,minuta,6
200,473.04,47.98, жена , сущ одуш ед жен им ,5741,zhena,5
202,468.51,48.07, правда , сущ неод ед жен им ,15231,pravda,6
203,467.77,48.12, главный , прл ед муж им ,48232,glavnyj,7
204,467.04,48.16, страна , сущ неод ед жен им ,19209,strana,6
205,463.86,48.21, свет , сущ неод ед муж им ,32373,svet,4
206,463.49,48.26, ждать , гл несов пер/не инф ,59830,zhdat',6
207,463.24,48.3, мать , сущ одуш ед жен им ,151287,mat',4
209,460.92,48.4, никогда , нар опред степ ,202661,nikogda,7
211,458.16,48.49, дорога , сущ неод ед жен им ,5231,doroga,6
212,453.45,48.53, однако , союз ,207216,odnako,6
213,444.21,48.58, лежать , гл несов непер инф ,60957,lezhat',7
214,442.25,48.62, именно , част ,207486,imenno,6
215,441.58,48.67, окно , сущ неод ед ср им ,41285,okno,4
216,438.39,48.71, никакой , мест прил ед муж им ,4014343,nikakoj,7
217,435.52,48.75, найти , гл сов пер/не инф ,177803,najti,5
218,431.78,48.8, писать , гл несов пер/не инф ,62719,pisat',6
219,420.89,48.84, комната , сущ неод ед жен им ,7967,komnata,7
220,417.21,48.88, часть , сущ неод ед жен им ,21813,chast',6
222,414.28,48.96, книга , сущ неод ед жен им ,7703,kniga,5
224,410.79,49.05, улица , сущ неод ед жен им ,160032,ulitsa,6
225,408.58,49.09, решить , гл сов перех инф ,65320,reshit',7
226,405.77,49.13, далекий , прл ед муж им ,48573,dalekij,7
227,402.03,49.17, душа , сущ неод ед жен им ,5507,dusha,5
228,399.95,49.21, чуть , нар опред степ ,206398,chut',5
230,398.3,49.29, утро , сущ неод ед ср им ,45857,utro,4
233,393.4,49.41, сколько , числ неопр им ,4016644,skol'ko,7
234,392.91,49.45, помнить , гл несов пер/не инф ,63418,pomnit',7
235,391.01,49.48, вечер , сущ неод ед муж им ,23691,vecher,6
236,390.53,49.52, пол , сущ неод ед муж им ,30483,pol,3
237,389.06,49.56, таки , част ,207659,taki,4
239,388.26,49.64, народ , сущ неод ед муж им ,28779,narod,5
240,385.14,49.68, плечо , сущ неод ед ср им ,42071,plecho,6
241,383.06,49.72, хоть , част ,207705,hot',4
243,376.63,49.79, бог , сущ одуш ед муж им ,23163,bog,3
244,376.57,49.83, вместе , нар опред спос ,199233,vmeste,6
245,372.41,49.87, взгляд , сущ неод ед муж им ,23703,vzgljad,7
246,370.88,49.9, ходить , гл несов непер инф ,67132,hodit',6
247,369.65,49.94, зачем , нар вопр ,200452,zachem,6
249,367.39,50.01, русский , прл ед муж им ,55184,russkij,7
250,362.12,50.05, бывать , гл несов непер инф ,58326,byvat',6
251,362.06,50.09, полный , прл ед муж им ,53929,polnyj,6
252,360.78,50.12, палец , сущ неод ед муж им ,135713,palets,6
253,360.78,50.16, прийти , гл сов непер инф ,4108028,prijti,6
254,358.88,50.2, россия , сущ неод ед жен им ,4152719,rossija,7
255,357.29,50.23, любой , мест прил ед муж им ,4014117,ljuboj,6
258,351.35,50.34, мысль , сущ неод ед жен им ,10613,mysl',5
259,350.37,50.37, узнать , гл сов пер/не инф ,66664,uznat',6
260,350.06,50.41, назад , нар обст напр ,201761,nazad,5
261,350.0,50.44, общий , прл ед муж им ,52894,obschij,7
263,346.64,50.51, словно , союз ,207290,slovno,6
265,345.96,50.58, уйти , гл сов непер инф ,66678,ujti,4
267,345.29,50.65, давно , нар обст врем ,199796,davno,5
271,336.84,50.79, сын , сущ одуш ед муж им ,33579,syn,3
272,335.99,50.82, нельзя , предик ,208728,nel'zja,7
273,335.19,50.85, прямо , нар опред кач ,204678,prjamo,6
274,333.11,50.89, долго , нар опред кач ,200032,dolgo,5
275,332.31,50.92, быстро , нар опред кач ,198784,bystro,6
276,331.89,50.95, лес , сущ неод ед муж им ,27549,les,3
278,328.52,51.02, пора , предик ,208949,pora,4
279,328.34,51.05, пять , числ кол им ,4015067,pjat',5
281,324.42,51.12, оно , мест сущ ед ср им ,46373,ono,3
282,324.36,51.15, имя , сущ неод ед ср им ,46301,imja,4
283,324.36,51.18, сесть , гл сов непер инф ,66293,sest',5
286,319.64,51.28, тело , сущ неод ед ср им ,45263,telo,4
287,317.81,51.31, молодой , прл ед муж им ,51424,molodoj,7
288,317.5,51.34, стена , сущ неод ед жен им ,19101,stena,5
289,316.64,51.37, красный , прл ед муж им ,50513,krasnyj,7
290,315.54,51.4, читать , гл несов пер/не инф ,67216,chitat',7
291,314.26,51.44, право , сущ неод ед ср им ,42665,pravo,5
292,313.64,51.47, старик , сущ одуш ед муж им ,33249,starik,6
293,313.46,51.5, ранний , прл ед муж им ,54884,rannij,6
295,311.01,51.56, мама , сущ одуш ед жен им ,9557,mama,4
297,310.34,51.62, высокий , прл ед муж им ,48072,vysokij,7
298,308.75,51.65, путь , сущ неод ед муж им ,46343,put',4
299,308.26,51.68, поэтому , нар обст причин ,204304,poetomu,7
301,305.01,51.75, кроме , предл род ,4127903,krome,5
